N,Wire Diameter (mm),Altitude (km),Wire Mass (kg),Max Deformation (m)
12,2.5,300,0.655,0.01319664
12,2.5,325,0.655,0.008001058
12,2.5,350,0.655,0.004795226
12,2.5,375,0.655,0.0032825
12,2.5,400,0.655,0.001901942
12,3.0,300,0.9432,0.006364319
12,3.0,325,0.9432,0.00385858
12,3.0,350,0.9432,0.002312523
12,3.0,375,0.9432,0.001583
12,3.0,400,0.9432,0.0009172186
